Company,RMSE,MSE,MAE,R2,Adjusted R2
tcs,357.368,127711.65814550387,297.8101890163448,0.8457108120862424,0.8453090173260503
hdfcbank,109.855,12068.152773333095,81.39720068249048,0.9346011183567382,0.9344308087691255
infy,217.768,47423.00232486065,184.2052521293977,0.7591846552071015,0.75855753191337
kotakbank,121.464,14753.432632004371,92.9974137854505,0.9507974182543524,0.9506692865310564
hindunilvr,186.045,34612.68000563115,147.34656010363636,0.9370494125094988,0.936885478687909
icicibank,104.517,10923.856565233069,91.57287896677664,0.7430244590478272,0.742355251909931
reliance,273.593,74853.31233133908,240.21016479907794,0.8806935656499725,0.8803828718105193
