Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,290.95001220703125,291.23748779296875,288.1937561035156,288.60626220703125,226.85739135742188,2959992
2013-01-02,289.5249938964844,291.0,287.9375,288.6499938964844,226.89181518554688,4349944
2013-01-03,289.375,293.60626220703125,288.875,292.23748779296875,229.7117462158203,10599288
2013-01-04,293.54998779296875,294.3687438964844,291.5,293.6937561035156,230.85638427734375,8454008
2013-01-07,293.88751220703125,297.48748779296875,291.9437561035156,296.8500061035156,233.33734130859375,8761624
2013-01-08,295.625,295.9937438964844,290.4375,293.0,230.3111114501953,12867424
2013-01-09,292.5249938964844,295.2250061035156,290.4125061035156,291.375,229.03375244140625,6149968
2013-01-10,291.375,292.83123779296875,288.6499938964844,290.2875061035156,228.1789093017578,10901016
2013-01-11,315.125,340.25,315.125,339.01251220703125,266.4789123535156,92852568
2013-01-14,344.9750061035156,354.6187438964844,344.03125,350.8125,275.7542724609375,50924760
2013-01-15,350.75,351.1812438964844,346.8125,348.3812561035156,273.84320068359375,20377880
2013-01-16,347.625,348.6000061035156,344.4375,345.9312438964844,271.9173583984375,11660824
2013-01-17,349.0,350.83123779296875,347.3999938964844,349.7437438964844,274.9141845703125,11767072
2013-01-18,350.625,351.25,347.1812438964844,348.5062561035156,273.9414367675781,7290592
2013-01-21,345.3812561035156,351.32501220703125,345.3812561035156,349.5375061035156,274.7520751953125,5899560
2013-01-22,349.20001220703125,349.83123779296875,347.125,347.9437561035156,273.49932861328125,5110280
2013-01-23,347.625,349.75,347.625,348.70001220703125,274.09375,7458712
2013-01-24,351.25,353.5,348.84375,349.7749938964844,274.93878173828125,11211296
2013-01-25,351.25,353.5,348.89373779296875,351.83123779296875,276.5550842285156,8442536
2013-01-28,351.5,353.45001220703125,350.125,351.33123779296875,276.1620788574219,6723008
2013-01-29,350.75,353.125,348.5687561035156,349.875,275.0173034667969,6197184
2013-01-30,350.59375,350.7437438964844,347.5687561035156,348.83123779296875,274.1968688964844,6805528
2013-01-31,349.0,350.88751220703125,346.25,348.6875,274.0838623046875,17480440
2013-02-01,348.88751220703125,350.23748779296875,344.0,346.3687438964844,272.2612609863281,7899648
2013-02-04,347.625,348.75,343.125,345.95001220703125,271.93218994140625,7500016
2013-02-05,345.40625,347.79376220703125,343.1937561035156,344.48748779296875,270.7825622558594,6166112
2013-02-06,346.90625,348.5062561035156,344.48126220703125,347.0,272.7574768066406,9097344
2013-02-07,348.25,349.875,347.5062561035156,348.6875,274.0838623046875,10704472
2013-02-08,347.89373779296875,352.0874938964844,346.53125,348.6812438964844,274.0789794921875,5482696
2013-02-11,350.15625,351.8687438964844,348.11248779296875,349.0062561035156,274.3345031738281,7394792
2013-02-12,346.25,346.76251220703125,342.71875,344.40625,270.7186584472656,4442392
2013-02-13,344.625,349.64373779296875,343.125,348.6937561035156,274.0888366699219,6322888
2013-02-14,349.29998779296875,353.5,349.29376220703125,351.59375,276.368408203125,6894000
2013-02-15,348.75,351.0625,347.0375061035156,348.57501220703125,273.9954833984375,5194256
2013-02-18,347.875,348.3374938964844,345.375,347.51251220703125,273.16033935546875,2754784
2013-02-19,347.51251220703125,353.125,345.8812561035156,352.5562438964844,277.12493896484375,4643344
2013-02-20,353.15625,354.04376220703125,351.0625,352.4312438964844,277.0266418457031,5545224
2013-02-21,350.20001220703125,352.48748779296875,349.14373779296875,350.9750061035156,275.8819580078125,5558744
2013-02-22,349.8374938964844,356.875,349.63751220703125,355.0687561035156,279.0998840332031,8703536
2013-02-25,358.75,365.25,358.45001220703125,364.7250061035156,286.690185546875,10457648
2013-02-26,364.5,371.17498779296875,364.5,369.9750061035156,290.8169250488281,12173544
2013-02-27,368.5,368.5,362.76251220703125,363.8187561035156,285.977783203125,7029760
2013-02-28,364.4125061035156,366.98126220703125,360.67498779296875,363.375,285.62890625,11808104
2013-03-01,364.25,370.17498779296875,361.5,364.2250061035156,286.2970886230469,8414632
2013-03-04,365.75,367.8125,359.01873779296875,362.9312438964844,285.2801818847656,10108320
2013-03-05,365.5687561035156,367.42498779296875,364.15625,365.1625061035156,287.03399658203125,7171944
2013-03-06,368.375,372.0874938964844,365.78125,371.26251220703125,291.8288879394531,12205480
2013-03-07,372.65625,376.2250061035156,372.5,375.54376220703125,295.194091796875,13715360
2013-03-08,373.5,373.625,369.65625,371.28125,291.8435363769531,6162896
2013-03-11,372.7250061035156,373.75,366.25,368.21875,289.4364318847656,4866160
2013-03-12,367.5,368.0874938964844,364.0,364.76251220703125,286.7196350097656,5714056
2013-03-13,361.25,361.25,356.26251220703125,357.9312438964844,281.3498840332031,10730136
2013-03-14,358.25,361.11248779296875,355.36248779296875,359.26251220703125,282.3963317871094,8332320
2013-03-15,359.54376220703125,363.95623779296875,358.5062561035156,359.78125,282.8041687011719,7260792
2013-03-18,358.28125,361.25,356.375,357.59375,281.08465576171875,6446824
2013-03-19,359.375,360.7749938964844,355.13751220703125,357.0,280.6178894042969,11976144
